"","ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"233","323","Mimosa nothacacia",1,"1048982","Mimosa nothacacia",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"nothacacia","nothacacia",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312691-2","","Y","Accepted","Mimosa nothacacia","Mimosa nothacacia","Barneby","1048982","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312691-2","","Fabaceae","1","1","wcvp","0",""
"234","326","Mimosa nothopteris",1,"176473","Mimosa nothopteris",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"nothopteris","nothopteris",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312730-2","","Y","Accepted","Mimosa nothopteris","Mimosa nothopteris","Barneby","176473","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312730-2","","Fabaceae","1","1","wcvp","0",""
"235","327","Mimosa nuda",1,"172395","Mimosa nuda",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"nuda","nuda",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508396-1","","Y","Synonym","Mimosa debilis var. debilis","Mimosa debilis","","1049014","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190448-1","","Fabaceae","1","1","wcvp","0",""
"236","328","Mimosa nuttallii",1,"1655583","Mimosa nuttallii",1,"species","","",NA,"(Raspail) B.L.Turner","Fabaceae","Mimosa","Mimosa",1,"nuttallii","nuttallii",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:979524-1","","Y","Synonym","Mimosa quadrivalvis var. nuttallii","Mimosa quadrivalvis","(Raspail) Beard ex Barneby","1657066","variety","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:967268-1","","Fabaceae","1","1","wcvp","0",""
"237","330","Mimosa oblonga",1,"172396","Mimosa oblonga",1,"species","","",NA,"Benth.","Fabaceae","Mimosa","Mimosa",1,"oblonga","oblonga",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508403-1","","Y","Accepted","Mimosa oblonga","Mimosa oblonga","Benth.","172396","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508403-1","","Fabaceae","1","1","wcvp","0",""
"238","331","Mimosa occidentalis",1,"167680","Mimosa occidentalis",1,"species","","",NA,"Britton & Rose","Fabaceae","Mimosa","Mimosa",1,"occidentalis","occidentalis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161859-2","","Y","Accepted","Mimosa occidentalis","Mimosa occidentalis","Britton & Rose","167680","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:161859-2","","Fabaceae","1","1","wcvp","0",""
"239","332","Mimosa oedoclada",1,"1232442","Mimosa oedoclada",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"oedoclada","oedoclada",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312990-2","","Y","Accepted","Mimosa oedoclada","Mimosa oedoclada","Barneby","1232442","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312990-2","","Fabaceae","1","1","wcvp","0",""
"240","334","Mimosa oligosperma",1,"1232437","Mimosa oligosperma",1,"species","","",NA,"Barneby","Fabaceae","Mimosa","Mimosa",1,"oligosperma","oligosperma",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312985-2","","Y","Accepted","Mimosa oligosperma","Mimosa oligosperma","Barneby","1232437","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:312985-2","","Fabaceae","1","1","wcvp","0",""
"241","335","Mimosa onilahensis",1,"192661","Mimosa onilahensis",1,"species","","",NA,"R.Vig.","Fabaceae","Mimosa","Mimosa",1,"onilahensis","onilahensis",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508417-1","","Y","Accepted","Mimosa onilahensis","Mimosa onilahensis","R.Vig.","192661","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508417-1","","Fabaceae","1","1","wcvp","0",""
"242","336","Mimosa ophthalmocentra",1,"172402","Mimosa ophthalmocentra",1,"species","","",NA,"Mart. ex Benth.","Fabaceae","Mimosa","Mimosa",1,"ophthalmocentra","ophthalmocentra",1,"","",NA,"","",NA,"","",NA,"","","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508418-1","","Y","Accepted","Mimosa ophthalmocentra","Mimosa ophthalmocentra","Mart. ex Benth.","172402","species","https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:508418-1","","Fabaceae","1","1","wcvp","0",""
