scientific_name_(check),reference,amostra_stefany,new_description_stefany,scientific_name_(original),name_phylogeny,genus,specific_Epithet,infraspecific_Epithet,rank,grains,outline,pollen_arrangement,DU_planes,ornamentation,pore_number,shorter_diameter_min,shorter_diameter_max,shorter_diameter_mean,longer_diameter_min,longer_diameter_max,longer_diameter_mean,pore_diameter_min,pore_diameter_max,pore_diameter_mean,exine_thickness_min,exine_thickness_max,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean,voucher,herbarium,herbarium_code,voucher_review,image_of_literature
Mimosa amnis-atri,Santos-Silva - 2013,,,Mimosa amnis-atri,Mimosa_amnisatri,Mimosa,amnis-atri,,Species,4,elliptical,rhomboidal,uniplanar,,,10,16.500,13.100,11.300,17.500,12.700,,,,,,,,,J. S. Silva 976 / M. Batalha 3589,UEC / UB,,,Mimosa_amnis-atri-Santos-Silva-2013-10Î¼m
Mimosa apodocarpa,Santos-Silva - 2013,,,Mimosa apodocarpa,Mimosa_apodocarpa,Mimosa,apodocarpa,,Species,4,elliptical,rhomboidal,uniplanar,,,10.7,17.100,14.500,12.100,18.700,14.200,,,,,,,,,A. L. B. Sartori 599 / G. J. Shepherd 7520,UEC / UEC,,,Mimosa_apodocarpa-Santos-Silva-2013-10Î¼m
Mimosa arenosa,Buril - 2010,,,Mimosa arenosa,Mimosa_arenosa,Mimosa,arenosa,,Species,8,,rhomboidal&tetragonal,multiplanar,,3&4&5,9.6,11.500,10.100,12.500,15.400,13.800,,,,,,,,,E. CÃ³rdula 301 / J.S. Silva 196,UFP / UFP,UFP 47481 / UFP 47475,,Mimosa_arenosa-Buril-2010-5Î¼m / Mimosa_arenosa-2-Buril-2010-5Î¼m / Mimosa_arenosa-3-Buril-2010-5Î¼m / Mimosa_arenosa-Buril-2010-5Î¼m / Mimosa_arenosa-2-Buril-2010-5Î¼m / Mimosa_arenosa-3-Buril-2010-5Î¼m
Mimosa arenosa var. arenosa,Lima - 2008,,,Mimosa arenosa var. arenosa,Mimosa_arenosa_arenosa,Mimosa,arenosa,arenosa,Variety,8,,rhomboidal,multiplanar,areolate&verrucate,,9,12.000,9.700,13.000,16.000,14.200,,,,1.200,1.200,1.200,,,L.C.L. Lima et al. 174,HUEFS,,,Mimosa_arenosa_var. arenosa-Lima-2008-5Î¼m
Mimosa artemisiana,Santos-Silva - 2013,,,Mimosa artemisiana,Mimosa_artemisiana,Mimosa,artemisiana,,Species,4,elliptical,,,,,11,20.000,15.500,14.000,39.000,25.000,,,,,,,,,E. P. Heringer 6858 / H. F. LeitÃ£o Filho 7922,UEC / UEC,,,
Mimosa aurivillus var. aurivillus,LiauKang,26,x,Mimosa aurivillus var. aurivillus,Mimosa_aurivillus_aurivillus,Mimosa,aurivillus,aurivillus,Variety,4,circular,decussate&tetrahedral,multiplanar,verrucate,,10.214,12.764,11.282,11.968,15.447,14.001,1.044,1.401,1.223,0.669,0.990,0.830,,,R. M. Harley 27240,ESA,,,
Mimosa bimucronata,Freitas-Cruz - 2018 / LiauKang/ Barth & Yoneshigue - 1966 / Barth 1973,30,,Mimosa bimucronata,Mimosa_bimucronata,Mimosa,bimucronata,,Species,8,,decussate&tetrahedral,multiplanar,psilate&rugulate&verrucate,3&4,8.32,10.000,10.855,10.610,17.500,14.855,0.100,0.300,0.200,0.100,0.230,0.165,1.500,0.500,"R Klein 1117 / M Brunet 1888 / Fedele, Mauricio s.n. / O. M. Barth 34-M",R / R / ESA / HBR,NY 419031 / R64069 / ESA 12850 / HBR 81,"HBR 25709 / O. M. Barth 34 = RFA 28066 = Plantae, Rubiaceae",Mimosa_bimucronata-Cruz-2018-5Î¼m / Mimosa_bimucronata-2-Cruz-2018-5Î¼m /  Mimosa_bimucronata-3-Cruz-2018-5Î¼m / Mimosa_bimucronata-4-Cruz-2018-2Î¼m
Mimosa bimucronata var. bimucronata,Lima - 2008,,,Mimosa bimucronata var. bimucronata,Mimosa_bimucronata_bimucronata,Mimosa,bimucronata,bimucronata,Variety,8,,,multiplanar,areolate&verrucate,,11,12.000,11.200,14.000,16.000,15.400,,,,1.000,1.000,1.000,,,L.P. Queiroz et al. 3802,HUEFS,,,
Mimosa borboremae,Lima - 2008,,,Mimosa borboremae,Mimosa_borboremae,Mimosa,borboremae,,Species,4,,decussate&tetrahedral,multiplanar,areolate&verrucate,3&4,8,9.000,8.700,11.000,12.500,11.900,,,,0.500,0.500,0.500,,,A.G. Silva & L.M. Nascimento 310,IPA,,,Mimosa_borboremae-Lima-2008-5Î¼m
Mimosa caerulea,Medina-Acosta-2018,,,Mimosa caerulea,Mimosa_caerulea,Mimosa,caerulea,,Species,4,circular&elliptical,tetrahedral,multiplanar,microverrucate&rugulate,3,10.8,10.800,,14.000,14.000,14.000,1.600,1.600,1.600,1.060,1.060,1.060,,,J. Rzedowski 20822 / M. Flores-Cruz 916 / V. Diego-Escobar et al. 19,UAMIZ22484 / UAMIZ40116 / UAMIZ55295,,,Mimosa_caerulea-Medina-Acosta-2018-5Î¼m / Mimosa_caerulea-2-Medina-Acosta-2018-5Î¼m / Mimosa_caerulea-3-Medina-Acosta-2018-5Î¼m / Mimosa_caerulea-4-Medina-Acosta-2018-2Î¼m / Mimosa_caerulea-5-Medina-Acosta-2018-1Î¼m / Mimosa_caerulea-6-Medina-Acosta-2018-2Î¼m / Mimosa_caerulea-7-Medina-Acosta-2018-200nm / Mimosa_caerulea-8-Medina-Acosta-2018-200nm
Mimosa caesalpiniifolia,Lima - 2008,,,Mimosa caesalpiniifolia,Mimosa_caesalpiniifolia,Mimosa,caesalpiniifolia,,Species,8,,rhomboidal,multiplanar,areolate&verrucate,,9,10.500,9.800,12.000,13.500,12.900,,,,1.000,1.000,1.000,,,M.M. Silva et al.397,HUEFS,,,Mimosa_caesalpiniifolia-Lima-2008-5Î¼m / Mimosa_caesalpiniifolia-2-Lima-2008-5Î¼m
