cleaned_name,source,sample,new_description,scientific_name_original,scientific_name_check,genus,specific_epithet,infraspecific_epithet,rank,grains,outline,pollen_arrangement,ornamentation,pore_number,longer_diameter_mean,shorter_diameter_mean,pore_diameter_mean,exine_thickness_mean,sexine_thickness_mean,nexine_thickness_mean
Mimosa_maguirei,Goicochea,NA,x,Mimosa maguirei ,Mimosa maguirei,Mimosa,maguirei,NA,Species,2,1,0&5,0,1,19.7,13.1,0.67,0.49,NA,NA
Mimosa_manidea,Goicochea,4,x,Mimosa manidea,Mimosa manidea,Mimosa,manidea,NA,Species,2,1,0&5,0,1,15.647,9.976,0.324,0.15,NA,NA
Mimosa_mensicola,Lima et al. 2008; Santos-Silva et al. 2013,NA,NA,Mimosa mensicola,Mimosa mensicola,Mimosa,mensicola,NA,Species,3,1,NA,0&4,NA,14.75,11.4,NA,1,NA,NA
Mimosa_misera,Lima et al. 2008,NA,NA,Mimosa misera ,Mimosa misera,Mimosa,misera,NA,Species,2,NA,3,0&4,NA,25.9,20.1,NA,1.1,NA,NA
Mimosa_modesta,Lima et al. 2008,NA,NA,Mimosa modesta ,Mimosa modesta,Mimosa,modesta,NA,Species,2,NA,0&5,0,NA,9.9,9.3,NA,0.7,NA,NA
Mimosa_morroensis,Lima et al. 2008,NA,NA,Mimosa morröensis ,Mimosa morroensis,Mimosa,morroensis,NA,Species,2,NA,0&5,0&4,0&1,11,9,NA,0.6,NA,NA
Mimosa_myrioglandulosa,Goicochea,11,x,Mimosa myrioglandulosa ,Mimosa myrioglandulosa,Mimosa,myrioglandulosa,NA,Species,2,1,3&4,0,NA,16.75,11.292,0.393,0.257,NA,NA
Mimosa_nothopteris,Santos-Silva et al. 2013,NA,NA,Mimosa nothopteris ,Mimosa nothopteris,Mimosa,nothopteris,NA,Species,2,1,NA,NA,NA,16.5,13,NA,NA,NA,NA
Mimosa_obstrigosa,Caccavari 2002,NA,NA,Mimosa obstrigosa ,Mimosa obstrigosa,Mimosa,obstrigosa,NA,Species,2,NA,5,NA,NA,10,NA,NA,NA,NA,NA
Mimosa_occidentalis,Medina-Acosta-2018,NA,NA,Mimosa occidentalis ,Mimosa occidentalis,Mimosa,occidentalis,NA,Species,2,0&1,5,1,0,15.1,10,0.75,0.87,NA,NA
Mimosa_oedoclada,Goicochea,1,x,Mimosa oedoclada ,Mimosa oedoclada,Mimosa,oedoclada,NA,Species,2,1,3&5,0,NA,16.551,10.879,0.498,0.541,NA,NA
Mimosa_ophthalmocentra,Buril et al. 2010; Lima et al. 2008; Santos-Silva et al. 2013,NA,NA,Mimosa ophthalmocentra,Mimosa ophthalmocentra,Mimosa,ophthalmocentra,NA,Species,3,1,4,0&4,0&1&2,13.8,9.875,NA,0.6,NA,NA
Mimosa_paludosa,Goicochea; Lima et al. 2008,12,NA,Mimosa paludosa / Mimosa setosa var. paludosa,Mimosa paludosa,Mimosa,paludosa,NA,Species,2,1,0&5,0&4,1,22.55,15.5,0.905,0.79,NA,NA
Mimosa_papposa,Caccavari 2002,NA,NA,Mimosa papposa ,Mimosa papposa,Mimosa,papposa,NA,Species,2,NA,4&5,NA,NA,12,NA,NA,NA,NA,NA
Mimosa_paraibana,Lima et al. 2008,NA,NA,Mimosa paraibana ,Mimosa paraibana,Mimosa,paraibana,NA,Species,3,NA,NA,0&4,NA,13.8,10.2,NA,0.5,NA,NA
Mimosa_pigra,Lima et al. 2008,NA,NA,Mimosa pigra ,Mimosa pigra,Mimosa,pigra,NA,Species,2,NA,0&3,NA,NA,25.7,18.1,NA,1,NA,NA
